indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,N,New_N_001.wav,10-9-7-5,4,0.3961920565193591,126x5,5x212,10,0.15089727127559505,0.5411595865169188,0.002045599998382386,9,0.5279231459827195,0.5033284477437034,0.0006939000013517216,7,0.5404483312961975,0.4178592253427946,0.0006448999993153848,5,0.5464783487564586,0.37215949790167496,0.0005623000033665448
1,N,New_N_002.wav,10-9-7-5,4,0.4699854747870362,126x5,5x212,10,0.16859932715498008,0.5251719769601638,0.0015028999987407587,9,0.4794465128605972,0.4375833569277407,0.0009987000012188219,7,0.5294605822311481,0.41002493798447676,0.0010164999985136092,5,0.5168381756206022,0.3977827889885547,0.000567900002351962
2,AS,New_AS_001.wav,10-9-7-5,4,0.44770400668811977,126x5,5x212,10,0.3416351373774231,0.5359887643544908,0.0023230999941006303,9,0.5561339761148408,0.45547948962963175,0.0005709000033675693,7,0.5985036882969168,0.40327732996121507,0.0005066999947302975,5,0.6480538956806742,0.42293078946950924,0.0004378000012366101
3,AS,New_AS_002.wav,10-9-7-5,4,0.490719091988279,126x5,5x212,10,0.3240343626787433,0.4967221748908273,0.0014507000014418736,9,0.5588093335781744,0.4248002779534128,0.000556999999389518,7,0.6110718099844636,0.3897004797491926,0.0005182999957469292,5,0.6045001903345854,0.48887478688584585,0.00043009999353671446
4,MR,New_MR_001.wav,10-9-7-5,4,0.39790716834872714,126x5,5x212,10,0.2623199447749331,0.5666346880282782,0.0015454999957000837,9,0.551703548472026,0.45072054864664135,0.0005399000001489185,7,0.5836146857204175,0.3874477267378457,0.0004984000042895786,5,0.6330672954294746,0.44465619616122154,0.0004291000004741363
5,MR,New_MR_002.wav,10-9-7-5,4,0.5090816874077831,126x5,5x212,10,0.29535155633820137,0.5094174790970982,0.001400200002535712,9,0.5178786607059355,0.43295421041333343,0.000708799998392351,7,0.5904208167353947,0.3664955071776779,0.0006637999977101572,5,0.5183868543205216,0.2732454989443932,0.000680500001180917
6,MS,New_MS_001.wav,10-9-7-5,4,0.5188448439538852,126x5,5x212,10,0.2191336353243755,0.5652555921543057,0.0015149999962886795,9,0.3944922679674295,0.4117178533112194,0.0007484000016120262,7,0.5553787119271844,0.39463182531921487,0.0004814000058104284,5,0.4872179099839355,0.4044804468886012,0.000429300001997035
7,MS,New_MS_002.wav,10-9-7-5,4,0.44402528263949825,126x5,5x212,10,0.215190190033599,0.48669843621094117,0.0013693000000785105,9,0.5083747318804297,0.444695618382829,0.0005040999967604876,7,0.5744760169374988,0.4041820291822463,0.0004760000010719523,5,0.5538970911482272,0.42654808642326414,0.0004048999981023371
8,MVP,New_MVP_001.wav,10-9-7-5,4,0.5867460747729449,126x5,5x212,10,0.38007656700402115,0.45720741851787705,0.0015494999970542267,9,0.5075987228241354,0.4408716485861554,0.0006973999988986179,7,0.5439884007681529,0.3481621290440797,0.001080100002582185,5,0.5730540516761061,0.32570297365854717,0.0004999000011594035
9,MVP,New_MVP_002.wav,10-9-7-5,4,0.6640038596220895,126x5,5x212,10,0.4270591107013098,0.41997604348926015,0.0017447999998694286,9,0.5360201387004127,0.3859904955114765,0.0007819000020390376,7,0.5077200687626006,0.39379112602205085,0.00048209999658865854,5,0.5695334154693317,0.3972972154806492,0.00043009999353671446
